UF,Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
Ceará,UECE,BR 51 2024 000782 2,13/03/2024,Rottas,OUTROS,IF-10/ TP-01/ TP-03," AP-01, FA-01, IA-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, FRANCISCO LAURINDO COSTA JUNIOR / ISMAYLE DE SOUSA SANTOS / MARCOS PATRICK SARAIVA DA SILVA / MATHEUS DE ALMEIDA ESTEBAN / RENAN MENDES FROTA / ROSSANA MARIA DE CASTRO ANDRADE,-,,
Ceará,UECE,BR 51 2024 000624 9,29/02/2024,T-For: An Adaptable Forecasting Model for Throughput Performance,PYTHON, TC-02 / TC-04," IA-01, TI-04",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ARIEL LIMA DE CARVALHO PORTELA / RAFAEL DE ALMEIDA MENEZES / RAFAEL LOPES GOMES / SILVIO EDUARDO SALES DE BRITTO RIBEIRO,-,,
Ceará,UECE,BR 51 2024 000467 0,16/02/2024,Aplicativo de Teste do Relógio,OUTROS,SD-01/ SD-03/ SD-05/ SD-06/ SD-08,"AP-01, IA-02, TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,ANTÔNIO LUIZ MARTINS MAIA FILHO / CLÉLIA SANTANA REIS DAMÁSIO / DARIO BRITO CALÇADA / DYMAS DE SOUSA CUNHA / JOÃO VICTOR DE CASTRO OLIVEIRA / LEONARDO EVANGELISTA MESQUITA,-,,
Ceará,UECE,BR 51 2024 000466 1,16/02/2024,Aplicativo de Mini Exame de Estado Mental,OUTROS,SD-01/ SD-03/ SD-05 / SD-06/ SD-08,"AP-01, IA-02, TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,  ANTÔNIO LUIZ MARTINS MAIA FILHO / CLÉLIA SANTANA REIS DAMÁSIO / DARIO BRITO CALÇADA / DYMAS DE SOUSA CUNHA / JOÃO VICTOR DE CASTRO OLIVEIRA / LEONARDO EVANGELISTA MESQUITA,-,,
Ceará,UECE,BR 51 2024 000414 9,09/02/2024,Aplicativo de Teste de Fluência Verbal,FRAMEWORK,SD-01/ SD-03/ SD-05 / SD-06/ SD-08,"AP-01, IA-02, TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ANTÔNIO LUIZ MARTINS MAIA FILHO / CLÉLIA SANTANA REIS DAMÁSIO / DARIO BRITO CALÇADA / DYMAS DE SOUSA CUNHA / JOÃO VICTOR DE CASTRO OLIVEIRA / LEONARDO EVANGELISTA MESQUITA,-,,
Ceará,UECE,BR 51 2024 000254 5,26/01/2024,WebMoney - Gestão de Finanças Pessoais,RUBY,FN-05,AP-02,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ISMAYLE DE SOUSA SANTOS / RAIMUNDO ANGELIANO GONÇALVES DE SOUSA,-,,
Ceará,UECE,BR 51 2024 000076 3,09/01/2024,Aventura Bucal: Jogo digital educativo para prevenção e promoção da saúde bucal em crianças,UNITY,SD-11,ET-02,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,LUCIANA BONFIM JACÓ DE OLIVEIRA / MARIA SALETE BESSA JORGE / PAULO HENRIQUE MENDES MAIA,-,,
Ceará,UECE,BR 51 2023 003527 0,16/11/2023,SuperSeg: Superpixel Segmentation of DICOM Images,PYTHON,SD-06,TC-04,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,ALBERTO LUIAN DE LIMA MARQUES / DOMINGOS BRUNO SOUSA SANTOS / GABRIEL FURTADO LINS MELO / THELMO PONTES DE ARAUJO / VICTOR WILKER DOS SANTOS DE OLIVEIRA,-,,
Ceará,UECE,BR 51 2023 003243 3,26/10/2023,SysPAD: Proteção e Privacidade de Dados em Sistemas Legados,PYTHON,TC-04,PD-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,DANIELLE DOS SANTOS SILVA / DOUGLAS ARAÚJO DA SILVA / JONAS NOGUEIRA DA SILVA NETO / MARIA CLARA MESQUITA MOURA FERREIRA / MATHEUS MONTEIRO SILVEIRA / MICHAEL SILVA DE SOUZA / RAFAEL LOPES GOMES,-,,
Ceará,UECE,BR 51 2023 003241 7,26/10/2023,IoT-Anon: Data Anonimization Techniques in IoT Devices,C / C++,TC-04,PD-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,ARTHUR CORDEIRO URBANO / RAFAEL LOPES GOMES,-,,
